PRISM Time Series Data
Location:  Lat: 35.5308   Lon: -113.4259   Elev: 4931ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-10 - 2022-09
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1991-10,0.10,47.4,62.3,77.3
1991-11,0.33,32.9,46.7,60.4
1991-12,1.34,25.4,39.3,53.2
1992-01,0.61,25.5,38.8,52.2
1992-02,1.86,32.6,44.2,55.9
1992-03,3.30,34.9,46.3,57.7
1992-04,0.02,42.0,57.2,72.4
1992-05,1.43,50.0,63.9,77.9
1992-06,0.00,53.5,69.8,86.0
1992-07,0.27,60.9,75.0,89.2
1992-08,0.43,61.4,75.8,90.2
1992-09,0.00,55.1,70.6,86.0
1992-10,1.20,45.9,61.1,76.4
1992-11,0.00,27.8,42.7,57.6
1992-12,1.98,24.7,36.1,47.6
1993-01,1.81,29.6,39.8,49.9
1993-02,5.07,29.7,40.2,50.7
1993-03,0.34,35.3,49.0,62.8
1993-04,0.01,40.1,55.1,70.0
1993-05,0.26,48.1,63.5,78.9
1993-06,0.68,55.3,71.0,86.8
1993-07,0.00,59.6,75.2,90.9
1993-08,0.94,59.8,74.7,89.5
1993-09,0.00,52.2,68.6,85.0
1993-10,0.88,42.7,57.5,72.4
1993-11,1.00,29.8,44.1,58.4
1993-12,2.47,25.1,39.7,54.3
1994-01,0.27,27.0,41.7,56.5
1994-02,0.76,26.4,39.0,51.5
1994-03,1.39,34.4,48.6,62.9
1994-04,0.52,38.4,53.7,69.0
1994-05,0.17,45.6,60.9,76.2
1994-06,0.00,58.7,75.4,92.1
1994-07,2.83,62.6,78.3,94.1
1994-08,1.37,64.1,78.9,93.6
1994-09,0.55,56.1,70.9,85.7
1994-10,1.07,41.0,56.0,70.9
1994-11,0.62,24.8,39.1,53.3
1994-12,1.89,27.4,40.1,52.7
1995-01,1.16,28.5,38.6,48.6
1995-02,1.02,34.0,48.4,62.7
1995-03,1.09,34.6,46.6,58.6
1995-04,0.72,35.9,50.0,64.1
1995-05,0.14,42.9,57.0,71.2
1995-06,0.28,49.9,66.3,82.6
1995-07,0.00,61.1,77.1,93.2
1995-08,0.89,64.5,78.6,92.8
1995-09,0.91,57.6,72.4,87.2
1995-10,0.00,43.6,60.7,77.8
1995-11,0.00,38.8,54.2,69.7
1995-12,0.07,30.0,43.8,57.5
1996-01,0.17,27.9,42.2,56.5
1996-02,1.10,33.5,46.6,59.8
1996-03,0.12,31.8,47.1,62.4
1996-04,0.00,37.3,54.8,72.2
1996-05,0.01,49.4,65.1,80.9
1996-06,0.02,56.5,74.0,91.6
1996-07,0.88,64.6,79.5,94.4
1996-08,0.50,63.0,78.1,93.3
1996-09,0.41,53.7,67.9,82.1
1996-10,0.48,42.1,57.4,72.6
1996-11,1.02,34.9,48.2,61.6
1996-12,0.29,30.3,42.0,53.6
1997-01,1.45,29.0,39.5,50.0
1997-02,0.87,27.3,41.2,55.1
1997-03,0.00,34.5,51.0,67.6
1997-04,0.45,36.3,51.4,66.6
1997-05,0.24,50.4,66.9,83.4
1997-06,0.26,53.8,69.6,85.4
1997-07,0.18,60.1,76.0,92.0
1997-08,1.77,62.4,76.3,90.2
1997-09,1.97,59.3,71.7,84.1
1997-10,0.00,41.2,56.4,71.6
1997-11,0.49,34.7,48.6,62.5
1997-12,0.82,23.9,37.2,50.4
1998-01,0.47,28.6,41.2,53.9
1998-02,2.52,26.8,37.6,48.3
1998-03,1.49,30.7,44.4,58.2
1998-04,0.41,33.3,47.4,61.5
1998-05,0.36,41.9,57.0,72.0
1998-06,0.00,48.8,65.6,82.4
1998-07,2.03,62.6,77.8,92.9
1998-08,0.28,62.9,77.6,92.3
1998-09,1.80,54.7,68.4,82.0
1998-10,0.66,40.4,55.7,71.0
1998-11,0.87,34.0,47.9,61.8
1998-12,0.24,28.5,41.5,54.5
1999-01,0.24,30.4,44.0,57.6
1999-02,0.47,29.2,43.8,58.3
1999-03,0.04,33.7,48.9,64.0
1999-04,1.24,34.6,47.8,60.9
1999-05,0.02,45.6,60.6,75.5
1999-06,0.12,54.8,70.2,85.6
1999-07,2.68,62.3,75.0,87.7
1999-08,1.77,60.3,74.6,88.9
1999-09,2.02,54.2,69.0,83.8
1999-10,0.00,44.1,61.6,79.1
1999-11,0.00,36.7,53.5,70.2
1999-12,0.00,27.6,41.8,55.9
2000-01,0.23,29.0,43.0,56.9
2000-02,0.98,30.8,43.9,57.0
2000-03,0.83,32.2,46.0,59.9
2000-04,0.12,40.7,57.4,74.0
2000-05,0.02,50.7,67.1,83.5
2000-06,0.41,57.6,74.2,90.7
2000-07,0.50,62.8,78.2,93.7
2000-08,3.14,63.3,76.8,90.2
2000-09,0.00,55.3,70.4,85.4
2000-10,1.29,43.9,56.7,69.4
2000-11,0.02,28.9,41.5,54.0
2000-12,0.09,30.2,44.3,58.4
2001-01,2.06,26.8,38.4,50.1
2001-02,0.96,27.7,39.8,51.8
2001-03,0.43,34.9,47.8,60.8
2001-04,0.35,37.1,51.6,66.1
2001-05,0.00,50.6,67.7,84.8
2001-06,0.15,56.5,73.4,90.3
2001-07,0.55,60.9,76.3,91.7
2001-08,0.96,62.0,77.0,92.0
2001-09,0.01,55.9,72.4,88.9
2001-10,0.50,47.1,62.4,77.8
2001-11,0.16,36.6,49.7,62.9
2001-12,0.82,26.1,38.1,50.0
2002-01,0.02,26.3,39.7,53.1
2002-02,0.00,26.8,43.1,59.4
2002-03,0.15,28.5,44.5,60.5
2002-04,0.00,41.5,57.7,73.9
2002-05,0.00,45.3,62.5,79.7
2002-06,0.05,56.9,74.8,92.8
2002-07,0.25,63.8,79.6,95.4
2002-08,1.28,62.3,77.6,92.9
2002-09,1.48,56.3,70.5,84.7
2002-10,0.40,42.4,56.6,70.8
2002-11,0.40,35.3,49.1,62.9
2002-12,0.65,27.1,39.2,51.3
2003-01,0.16,32.3,47.1,61.8
2003-02,2.15,29.1,41.5,53.9
2003-03,1.09,31.9,45.3,58.6
2003-04,0.65,35.5,50.1,64.7
2003-05,0.11,47.2,63.6,80.0
2003-06,0.00,55.9,72.9,89.8
2003-07,0.19,65.0,80.9,96.8
2003-08,1.28,62.5,76.2,89.9
2003-09,0.64,56.9,72.5,88.1
2003-10,0.00,50.1,66.1,82.0
2003-11,0.75,30.9,43.4,56.0
2003-12,0.74,28.2,40.8,53.4
2004-01,0.16,27.3,40.1,52.9
2004-02,1.59,25.9,37.7,49.4
2004-03,0.13,39.1,54.6,70.2
2004-04,1.33,39.7,54.3,68.9
2004-05,0.00,47.4,63.9,80.4
2004-06,0.00,55.2,72.7,90.1
2004-07,0.54,61.3,77.2,93.2
2004-08,1.37,60.3,75.2,90.0
2004-09,1.25,53.5,68.9,84.4
2004-10,2.36,43.2,56.0,68.8
2004-11,2.91,31.2,43.4,55.6
2004-12,1.40,28.3,41.0,53.7
2005-01,3.03,32.4,42.3,52.3
